Latitude,ZipCode,City,Longitude,County,State,ZipCodeClass
18.2063,00744,RIO BLANCO,-65.7431,NAGUABO,PR,PO BOX ONLY
18.3673,00745,RIO GRANDE,-65.8166,RIO GRANDE,PR,STANDARD
17.9985,00751,SALINAS,-66.2648,SALINAS,PR,STANDARD
18.1876,00754,SAN LORENZO,-65.9624,SAN LORENZO,PR,STANDARD
17.9912,00757,SANTA ISABEL,-66.3955,SANTA ISABEL,PR,STANDARD
18.1233,00765,VIEQUES,-65.4604,VIEQUES,PR,STANDARD
18.1205,00766,VILLALBA,-66.4966,VILLALBA,PR,STANDARD
18.0455,00767,YABUCOA,-65.8870,YABUCOA,PR,STANDARD
18.0960,00769,COAMO,-66.3508,COAMO,PR,STANDARD
18.1966,00771,LAS PIEDRAS,-65.8720,LAS PIEDRAS,PR,STANDARD
18.4474,00772,LOIZA,-65.8994,LOIZA,PR,STANDARD
18.3660,00773,LUQUILLO,-65.7081,LUQUILLO,PR,STANDARD
18.3237,00775,CULEBRA,-65.2965,CULEBRA,PR,PO BOX ONLY
18.2065,00777,JUNCOS,-65.9018,JUNCOS,PR,STANDARD
18.2591,00778,GURABO,-65.9746,GURABO,PR,STANDARD
18.0020,00780,COTO LAUREL,-66.6074,PONCE,PR,STANDARD
18.2250,00782,COMERIO,-66.2199,COMERIO,PR,STANDARD
18.3044,00783,COROZAL,-66.3305,COROZAL,PR,STANDARD
17.9923,00784,GUAYAMA,-66.1393,GUAYAMA,PR,STANDARD
18.0188,00785,GUAYAMA,-66.7956,GUAYANILLA,PR,STANDARD
18.1281,00786,LA PLATA,-66.2687,AIBONITO,PR,PO BOX ONLY
18.1380,00791,HUMACAO,-65.7885,HUMACAO,PR,STANDARD
18.1380,00792,HUMACAO,-65.7885,HUMACAO,PR,STANDARD
18.2009,00794,BARRANQUITAS,-66.3072,BARRANQUITAS,PR,STANDARD
17.9974,00795,JUANA DIAZ,-66.4932,JUANA DIAZ,PR,STANDARD
18.3223,00801,ST THOMAS,-64.9637,SAINT THOMAS,VI,STANDARD
18.3223,00802,ST THOMAS,-64.9637,SAINT THOMAS,VI,STANDARD
18.3223,00803,ST THOMAS,-64.9637,SAINT THOMAS,VI,STANDARD
18.3223,00804,ST THOMAS,-64.9637,SAINT THOMAS,VI,STANDARD
